,Dial,"Date, GMT",Price,Dial numerals,Location,Material bezel,Movement,Ref. No.,Waterproof,Brand,Glass,Clasp,Gender,Bracelet material,Case material,Case diameter,Bracelet color,url,Movement/Caliber,Clasp material,Condition,Year,Availability
With papers,Mother of pearl,,"$13,999",,"United States, New York, New York",,Automatic,114300,10 ATM,Rolex,,,Men's watch/Unisex,Steel,,39 mm,Steel,http://www.chrono24.com/rolex/new-style-rolex-oyster-perpetual-15-carats-of-genuine-diamonds-micro-pave-style--id5685821.htm,,,1 (mint),,Available now
,Champagne,,"$3,299 [Negotiable]",,"United States, New York, New York",Yellow gold,Automatic,1600,,Rolex,Plexiglass,Fold clasp,Men's watch/Unisex,Gold/Steel,Steel,36 mm,Gold/Steel,http://www.chrono24.com/rolex/mens-rolex-datejust-1600-18k-yellow-gold--ss--id5462661.htm,,Steel,1 (mint),1968,Available now
With box,Champagne,,"$3,300",No numerals,"United States, Florida, Miami",Yellow gold,Automatic,,,Rolex,,Fold clasp,Men's watch/Unisex,Gold/Steel,Gold/Steel,36 mm,Gold/Steel,http://www.chrono24.com/rolex/datejust-36mm-two-tone-jubilee-band-champaigne-dial--id4831067.htm,,Steel,1 (mint),1975,Available now
,,,"$3,495",,"United States, California, Los Angeles",,Automatic,16014,,Rolex,,,Men's watch/Unisex,Steel,Steel,36 mm,,http://www.chrono24.com/rolex/ss-datejust-36mm-custom-black-diamond-dial-wg-fluted-16014--id4878831.htm,Rolex Automatic 3035,,1 (mint),1980's,Available now
With papers,Black,"Date, GMT","$8,999",No numerals,"United States, New York, New York",Ceramic,Automatic,116710BLNR,10 ATM,Rolex,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,40 mm,Steel,http://www.chrono24.com/rolex/gmt-master-ii-black-and-blue-ceramic-2016--id3465696.htm,,Steel,0 (unworn),2016,Available now
,,,,,"Austria, Wien",,Automatic,1500,,Rolex,,,,,Yellow gold,34 mm,,http://www.chrono24.com/rolex/date-1500--id4603732.htm,,,1 (mint),1968,On request
,Black,,,,"Austria, Wien",,Automatic,3533,,IWC,,,,,Steel,38 mm,,http://www.chrono24.com/iwc/portofino--id5659800.htm,,,1 (mint),,On request
With papers,,,,,"Germany, Stuttgart",,Automatic,A19038021|BD20|443A,,Breitling,,,Men's watch/Unisex,Steel,,48 mm,,http://www.chrono24.com/breitling/navitimer-1461--id5123085.htm,,,0 (unworn),2017,On request
With papers,Grey,,,,"Austria, Wien",,Manual winding,5109G,,Patek Philippe,,,,,White gold,30 mm,,http://www.chrono24.com/patekphilippe/gondolo--id5653211.htm,,,1 (mint),,On request
With papers,,,,,"Indonesia, Indonesia",,Quartz,AP RO,,Audemars Piguet,,,Men's watch/Unisex,Steel,Steel,,,http://www.chrono24.com/audemarspiguet/ap-royal-oak---quartz---33mm--id5243233.htm,,,1 (mint),1988,Ready to ship in 3-5 days
With papers,,,,,"Hong Kong SAR, TST,Kowloon",,Manual winding,PAM00609,,Panerai,,,,Leather,Steel,,,http://www.chrono24.com/panerai/panerai-radiomir--id4479767.htm,,,0 (unworn),,On request
With papers,Silver,,,,"Austria, Wien",,Automatic,140.8.98S,,Jaeger-LeCoultre,,,,,Steel,38 mm,,http://www.chrono24.com/jaegerlecoultre/master-moon--id5599964.htm,,,1 (mint),,On request
With papers,Grey,,,,"Italy, BRESCIA",Ceramic,Automatic,CAZ2012.BA0876,20 ATM,TAG Heuer,Sapphire Glass,,,Steel,Steel,44 mm,Steel,http://www.chrono24.com/tagheuer/formula-1-cronografo-44mm-in-acciaio-ref-caz2012ba0876--id5700307.htm,,,0 (unworn),2017,On request
With papers,,,,,"Germany, Mülheim an der Ruhr",,Automatic,WAY2151.BD0912,,TAG Heuer,Sapphire Glass,Fold clasp,Men's watch/Unisex,Gold/Steel,Gold/Steel,"40,50 mm",,http://www.chrono24.com/tagheuer/aquaracer-calibre-5-automatik-405mm-ref-way2151bd0912--id3083619.htm,,Steel,0 (unworn),2017,On request
With papers,Transparent,,,No numerals,"Germany, Bietigheim-Bissingen",Carbon,Automatic,411.QX.1170.RX,10 ATM,Hublot,Sapphire Glass,Fold clasp,Men's watch/Unisex,Rubber,Carbon,45 mm,Black,http://www.chrono24.com/hublot/big-bang-unico-carbon-411qx1170rx--id4593854.htm,HUB1242,Titanium,0 (unworn),2016,Available now
With papers,,,,,"Switzerland, Freienbach/Zürich",,Automatic,521.CM.7170.LR,,Hublot,,,Men's watch/Unisex,Crocodile skin,Ceramic,45 mm,,http://www.chrono24.com/hublot/classic-fusion-ceramic-blue--id5707993.htm,,,0 (unworn),2017,On request
With box,Black,,,No numerals,"Spain, MADRID",,Quartz,1401. 2,5 ATM,Hublot,Sapphire Glass,Double-fold clasp,Men's watch/Unisex,Rubber,Gold/Steel,32 mm,Black,http://www.chrono24.com/hublot/classic-steel-and-gold-medium-size-quartz--id4940453.htm,,Gold/Steel,1 (mint),,Available now
With box,Black,,"$19,890",,"United States, New York, Brooklyn NY",,Automatic,709.CI.1770.RX,10 ATM,Hublot,Sapphire Glass,Fold clasp,Men's watch/Unisex,Rubber,Ceramic,48 mm,Black,http://www.chrono24.com/hublot/big-bang--id4426786.htm,HUB4143,,0 (unworn),,On request
With box,,,"$23,128",,"United States, New York, Brooklyn NY",,Automatic,320.UI.440.RX,10 ATM,Hublot,Sapphire Glass,Buckle,Men's watch/Unisex,Rubber,Titanium,44 mm,Black,http://www.chrono24.com/hublot/big-bang--id4404356.htm,HUB4000,,0 (unworn),,On request
With box,Black,,"$21,168",Arabic numerals,"United States, New York, Brooklyn NY",,Quartz,361.PX.1280.RX.1704,10 ATM,Hublot,Sapphire Glass,Fold clasp,Ladies' watch,Rubber,Pink gold,38 mm,Black,http://www.chrono24.com/hublot/big-bang--id4585974.htm,HUB2900,,0 (unworn),,On request
With box,,,"$23,840",Arabic numerals,"United States, New York, Brooklyn NY",Aluminum,Automatic,401.NM.0123.VR.ENG13,10 ATM,Hublot,Sapphire Glass,Fold clasp,Men's watch/Unisex,Rubber,Titanium,45.5 mm,Black,http://www.chrono24.com/hublot/big-bang-ferrari--id4314180.htm,HUB1241,,0 (unworn),,On request
With box,,,"$76,450",,"United States, New York, Brooklyn NY",,Manual winding,505.NX.0170.LR.1904,3 ATM,Hublot,Sapphire Glass,,Men's watch/Unisex,Crocodile skin,Titanium,45 mm,Black,http://www.chrono24.com/hublot/classic-fusion-tourbillon--id4239273.htm,MHUB6010.H1.8,,0 (unworn),,On request
With box,Blue,,"$35,064",Arabic numerals,"United States, New York, Brooklyn NY",,Automatic,341.PP.9089.LR.1633.POP15,,Hublot,Sapphire Glass,Fold clasp,Ladies' watch,Crocodile skin,Red gold,41 mm,,http://www.chrono24.com/hublot/big-bang-pop-art--id4239258.htm,HUB4300,,0 (unworn),,On request
