,Dial,"Date, GMT",Price,Dial numerals,Location,Material bezel,Movement,Ref. No.,Waterproof,Brand,Glass,Clasp,Gender,Bracelet material,Case material,Case diameter,Bracelet color,url,Movement/Caliber,Clasp material,Condition,Year,Availability
With papers,Blue,,,No numerals,"Spain, Madrid",,Automatic,WAJ2112,50 ATM,TAG Heuer,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,43 mm,Steel,http://www.chrono24.com/tagheuer/aquaracer-2000-calibre-5--id3360722.htm,,Steel,0 (unworn),,Available now
With papers,,,,Arabic numerals,"United Kingdom, Liverpool",,Quartz,WAC1214.BA0852,,TAG Heuer,Sapphire Glass,,Ladies' watch,Steel,Steel,37 mm,Steel,http://www.chrono24.com/tagheuer/formula-1-wac1214ba0852--id4573201.htm,,,1 (mint),2007,Available now
,,,,,"Hungary, Szeged",,Quartz,WAY131D.BA0914,30 ATM,TAG Heuer,Sapphire Glass,,Ladies' watch,,Steel,35 mm,,http://www.chrono24.com/tagheuer/aquaracer-noi-karora-way131dba0914--id4969153.htm,,,,,Available now
With papers,Black,,price on request,No numerals,"Italy, VICENZA - VI",Steel,Automatic,WAV5111.BA0901- TAGHEUER Steel Watch GMT Function Big Date,10 ATM,TAG Heuer,Sapphire Glass,,,Steel,Steel,"42,5 mm",Steel,http://www.chrono24.com/tagheuer/calibre-8rs-grande-date-gmt-425mm--id3428032.htm,Calibre 8 RS,,0 (unworn),,Available now
With papers,Mother of pearl,,,,"United Kingdom, Bishop's Stortford",,Automatic,HTWAT2315BA0956,,TAG Heuer,,,Ladies' watch,Steel,Steel,34 mm,Steel,http://www.chrono24.com/tagheuer/link-diamonds-stainless-steel-ladies-htwat2315ba0956--id3825757.htm,,,0 (unworn),2015,Available now
,Grey,,,Arabic numerals,"United Kingdom, London",,Quartz,,,TAG Heuer,Sapphire Glass,,Men's watch/Unisex,Steel,Steel,38 x 44 mm,,http://www.chrono24.com/tagheuer/sel-quartz-s95206me-mens-watch--id5459442.htm,,,,1990’s,Available now
With papers,White,,,,"Switzerland, Bäch",,Quartz,WAH1213.BA0861,20 ATM,TAG Heuer,Sapphire Glass,Fold clasp,Ladies' watch,,Steel,37 mm,Steel,http://www.chrono24.com/tagheuer/tag-heuer-ladies-wah1213ba0861-formula-1-watch--id4964252.htm,,Steel,0 (unworn),SWISS&EUROPEAN WAREHOUSE,Available now
,,,,,"Hungary, Szeged",,Quartz,WAY1111.BA0910,30 ATM,TAG Heuer,Sapphire Glass,,Men's watch/Unisex,Steel,Steel,40.5 mm,Silver,http://www.chrono24.com/tagheuer/aquaracer-ferfi-karora-way1111ba0910--id4968752.htm,,,,,Available now
With papers,Black,,price on request,,"Italy, VICENZA",Steel,Quartz,"WAU1110.BA0858 - TAGHEUER F1 BIG DATE BLACK DIAL,STEEL WATCH",20 ATM,TAG Heuer,Sapphire Glass,,,Steel,Steel,42 mm,Steel,http://www.chrono24.com/tagheuer/formula-1-grande-date-42mm-ref-wau1110ba0858--id4105500.htm,Quarzo,Steel,0 (unworn),2015,Available now
With papers,Black,,,Arabic numerals,Hungary,Steel,Quartz,WN1110,20 ATM,TAG Heuer,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,37 mm,Steel,http://www.chrono24.com/tagheuer/tag-heuer-professional-quarz-37mm--id4048624.htm,,Steel,2 (fine),2007,Available now
