,Dial,"Date, GMT",Price,Dial numerals,Location,Material bezel,Movement,Ref. No.,Waterproof,Brand,Glass,Clasp,Gender,Bracelet material,Case material,Case diameter,Bracelet color,url,Movement/Caliber,Clasp material,Condition,Year,Availability
With papers,,,"$21,590",,"United States, New York, Airmont",,Manual winding,,2 ATM,Audemars Piguet,,Buckle,Ladies' watch,Crocodile skin,Pink gold,,Black,http://www.chrono24.com/audemarspiguet/ladies-jules-audemars-manual-wind-77240orzza001cr01--id4999869.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Silver,,"$23,970",,"United States, New York, Airmont",,Automatic,,2 ATM,Audemars Piguet,,Buckle,Men's watch/Unisex,Crocodile skin,White gold,,Black,http://www.chrono24.com/audemarspiguet/jules-audemars-ultra-thin-automatic-15180bcooa002cr01--id4999452.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Black,,"$21,320",,"United States, New York, Airmont",,Automatic,,10 ATM,Audemars Piguet,,Buckle,Men's watch/Unisex,Crocodile skin,Steel,,Black,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph-42mm-26470stooa101cr01--id4993370.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Silver,,"$22,355",,"United States, New York, Airmont",,Manual winding,,2 ATM,Audemars Piguet,,Buckle,Ladies' watch,,White gold,,Black,http://www.chrono24.com/audemarspiguet/ladies-jules-audemars-manual-wind-77228bczza001mr01--id4992110.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Silver,,"$20,230",,"United States, New York, Airmont",,Automatic,,5 ATM,Audemars Piguet,,Fold clasp,Ladies' watch,Gold/Steel,Gold/Steel,,,http://www.chrono24.com/audemarspiguet/royal-oak-automatic-37mm-15450sroo1256sr01--id5002865.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Black,,"$43,605",,"United States, New York, Airmont",,Automatic,,10 ATM,Audemars Piguet,,Buckle,Men's watch/Unisex,Rubber,Pink gold,,Black,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph-44mm-26401roooa002ca01--id4997061.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Black,,,Arabic numerals,"Germany, Rheinstetten - Karlsruhe",Ceramic,Automatic,26202AU.OO.D002CA.01,10 ATM,Audemars Piguet,Sapphire Glass,,Men's watch/Unisex,Rubber,Carbon,42 mm,Black,http://www.chrono24.com/audemarspiguet/ap-offshore-jarno-trulli-limited-with-signature--id2523230.htm,3126/3840,Titanium,0 (unworn),2012,Available now
,,,,Arabic numerals,"France, Lyon",,Automatic,26170ST.OO.D091CR.01,,Audemars Piguet,Sapphire Glass,Fold clasp,Men's watch/Unisex,Leather,Steel,42 mm,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-safari--id5673610.htm,,,1 (mint),,Available now
With papers,White,,"$18,900",,"Switzerland, Baar",,Quartz,67651OR.ZZ.D010CA.01,,Audemars Piguet,,,Men's watch/Unisex,Rubber,Pink gold,33 mm,,http://www.chrono24.com/audemarspiguet/royal-oak-lady---rose-gold---white-dial---diamonds---67651orzzd010ca01--id4558572.htm,,,0 (unworn),,Available now
With papers,,,,,"Hong Kong SAR, North Point",,Automatic,15400OR.OO.D002CR.01,,Audemars Piguet,,,Men's watch/Unisex,Crocodile skin,Pink gold,,,http://www.chrono24.com/audemarspiguet/15400or-royal-oak-18k-pink-rose-gold-automatic-41mm-new--id2675280.htm,,,0 (unworn),,Available now
With papers,Blue,,"$20,500",Arabic numerals,"United Kingdom, London",Steel,Automatic,26470ST.OO.A027CA.01,10 ATM,Audemars Piguet,Sapphire Glass,Buckle,Men's watch/Unisex,Rubber,Steel,42 mm,Blue,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph-steel---26470stooa027ca01--id5607382.htm,3126 / 3840,Steel,0 (unworn),June 2016,Available now
With papers,,,,,United Kingdom,Steel,,15305ST.OO.1220ST.01,50 ATM,Audemars Piguet,Sapphire Glass,,Men's watch/Unisex,Steel,Steel,39mm mm,Steel,http://www.chrono24.com/audemarspiguet/royal-oak-skeleton-openworked--id5462838.htm,,,0 (unworn),2011,Available now
With papers,,,,,"Switzerland, Lausanne",,Automatic,26568IM.OO.A004CA.01,,Audemars Piguet,,,,Rubber,Titanium,44 mm,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-schumacher-26568imooa004ca01--id5576574.htm,,,1 (mint),2013,Available now
With papers,White,,,No numerals,"United Kingdom, London",,Automatic,26320OR.OO.1220OR.02,,Audemars Piguet,Sapphire Glass,Fold clasp,Men's watch/Unisex,Yellow Gold,,41 mm,Gold,http://www.chrono24.com/audemarspiguet/royal-oak-chrono-41mm--id5407079.htm,,,0 (unworn),2016,Available now
With papers,,,,,"Italy, Roma",,Automatic,25979ST,,Audemars Piguet,,,,Rubber,Steel,39 mm,,http://www.chrono24.com/audemarspiguet/royal-oak-alinghi-city-of-sails--id5021631.htm,,,1 (mint),2002,Available now
,Black,,,Arabic numerals,"United Kingdom, London",,Automatic,26186SN.OO.D101CR.01,,Audemars Piguet,Sapphire Glass,,Men's watch/Unisex,Steel,Steel,42 mm,Steel,http://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-offshore-las-vegas--id4437653.htm,,,0 (unworn),2009,Available now
,Black,,,,"United Kingdom, London",,Automatic,26320OR.OO.1220OR.01,,Audemars Piguet,,,Men's watch/Unisex,,,41 mm,,http://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-41mm-rose-gold-26320oroo1220or01--id4945535.htm,,,0 (unworn),2016,Available now
With papers,Blue,,,,"Italy, ROMA",,Automatic,15202ST,50 ATM,Audemars Piguet,Sapphire Glass,,,Steel,Steel,39 mm,Steel,http://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-extra-thin-15202st--id5581949.htm,,Steel,0 (unworn),2016,Available now
With papers,Black,,,Arabic numerals,"Switzerland, Lugano",Steel,Automatic,26086ST.OO.D002CR.01,10 ATM,Audemars Piguet,Sapphire Glass,Fold clasp,Men's watch/Unisex,Leather,Steel,42 mm,Black,http://www.chrono24.com/audemarspiguet/offshore-worth-avenuelimited-edition-085100-pz-26086stood002cr01-in-steel-42mm--id5725250.htm,,Steel,1 (mint),,Available now
With papers,,,,,"Italy, Roma",,Automatic,25854TI,,Audemars Piguet,,,,Titanium,Titanium,42 mm,,http://www.chrono24.com/audemarspiguet/royal-oak-off-shore-quantieme-perpetuel-automatic-titanium--id3476708.htm,,,1 (mint),2007,Available now
With papers,Mother of pearl,,"$38,675",,"United States, New York, Airmont",,Manual winding,,2 ATM,Audemars Piguet,,Buckle,Ladies' watch,,Pink gold,,Brown,http://www.chrono24.com/audemarspiguet/ladies-jules-audemars-manual-wind-77229orzza082mr01--id4992087.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Black,,"$12,070",,"United States, New York, Airmont",,Quartz,,5 ATM,Audemars Piguet,,Fold clasp,Ladies' watch,Crocodile skin,Steel,,Black,http://www.chrono24.com/audemarspiguet/royal-oak-quartz-33mm-67651stzzd002cr01--id4998098.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,,,"$36,550",,"United States, New York, Airmont",,Automatic,,2 ATM,Audemars Piguet,,Fold clasp,Men's watch/Unisex,Crocodile skin,Pink gold,,Brown,http://www.chrono24.com/audemarspiguet/millenary-chronograph-26145orood095cr01--id4995083.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Silver,,"$54,560",,"United States, New York, Airmont",,Automatic,,2 ATM,Audemars Piguet,,Fold clasp,Men's watch/Unisex,Crocodile skin,Pink gold,,Brown,http://www.chrono24.com/audemarspiguet/jules-audemars-perpetual-calendar-26390orood088cr01--id4999453.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Silver,,"$17,138",,"United States, New York, Airmont",,Automatic,,5 ATM,Audemars Piguet,,Fold clasp,Ladies' watch,Crocodile skin,Steel,,White,http://www.chrono24.com/audemarspiguet/royal-oak-automatic-37mm-15451stzzd011cr01--id4998090.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Silver,,"$21,250",,"United States, New York, Airmont",,Manual winding,,2 ATM,Audemars Piguet,,Buckle,Ladies' watch,,Pink gold,,Brown,http://www.chrono24.com/audemarspiguet/ladies-jules-audemars-manual-wind-77228orzza082mr01--id4992103.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Silver,,"$28,220",,"United States, New York, Airmont",,Quartz,,5 ATM,Audemars Piguet,,Fold clasp,Ladies' watch,Crocodile skin,Pink gold,,White,http://www.chrono24.com/audemarspiguet/royal-oak-quartz-33mm-67652orzzd011cr01--id4996408.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Silver,,"$16,810",,"United States, New York, Airmont",,Quartz,,5 ATM,Audemars Piguet,,Fold clasp,Ladies' watch,Gold/Steel,Gold/Steel,,,http://www.chrono24.com/audemarspiguet/royal-oak-quartz-33mm-67651srzz1261sr01--id5002514.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Blue,,"$42,925",,"United States, New York, Airmont",,Automatic,,5 ATM,Audemars Piguet,,Fold clasp,Men's watch/Unisex,Pink Gold,Pink gold,,,http://www.chrono24.com/audemarspiguet/royal-oak-automatic-41mm-15400oroo1220or03--id5234106.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,,,"$64,940",,"United States, New York, Airmont",,Automatic,,2 ATM,Audemars Piguet,,Fold clasp,Ladies' watch,,White gold,,Black,http://www.chrono24.com/audemarspiguet/ladies-millenary-automatic-77303bczzd007su01--id5002963.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Silver,,"$36,550",,"United States, New York, Airmont",,Automatic,,2 ATM,Audemars Piguet,,Fold clasp,Men's watch/Unisex,Crocodile skin,Pink gold,,Brown,http://www.chrono24.com/audemarspiguet/millenary-chronograph-26145orood093cr01--id4992024.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Silver,,"$26,000",,"United States, New York, Airmont",,Automatic,,10 ATM,Audemars Piguet,,Fold clasp,Men's watch/Unisex,Crocodile skin,Steel,,Blue,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph-42mm-navy-26170stood305cr01--id5002096.htm,,,0 (unworn),,Ready to ship in 6-10 days
With papers,Champagne,,,Roman numerals,"Italy, ROMA",Pink gold,Automatic,15120OR.OO.A088CR,5 ATM,Audemars Piguet,Sapphire Glass,Buckle,,Crocodile skin,Pink gold,39 mm,Brown,http://www.chrono24.com/audemarspiguet/jules-rose-gold-aitomatic-39-mm--id4404880.htm,3124/3841,Pink Gold,1 (mint),2010,Available now
With papers,Blue,,,,"Germany, Düsseldorf",,Automatic,26401PO.OO.A018CR.01,,Audemars Piguet,Sapphire Glass,,Men's watch/Unisex,Rubber,Platinum,44 mm,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph-platin-26401poooa018cr01--id4718583.htm,,,1 (mint),2013,Available now
With papers,,,,,"Hong Kong SAR, North Point",,Automatic,26400SO.OO.A002CA.01,,Audemars Piguet,,,Men's watch/Unisex,Rubber,Steel,,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-steel-ceramic-novelty-44mm-new--id2595595.htm,,,0 (unworn),,Available now
With papers,Silver,,,,"Germany, Düsseldorf",Pink gold,Automatic,15400OR.OO.1220OR.02,,Audemars Piguet,Sapphire Glass,Fold clasp,Men's watch/Unisex,Pink Gold,Pink gold,41 mm,Gold,http://www.chrono24.com/audemarspiguet/royal-oak-rosegold-41mm-15400oroo1220or02-ungetragen--id5563933.htm,3120,Pink Gold,0 (unworn),2014,Available now
,Grey,,,,"Belgium, Bruxelles",,Automatic,,,Audemars Piguet,,Fold clasp,,Rubber,Pink gold,44 mm,,http://www.chrono24.com/audemarspiguet/offshore-2016-rose-gold-25940--id5677782.htm,2326/2840,,,2016,Available now
With papers,,,,,"Austria, Baden bei Wien",,Automatic,26320OR.OO. D088CR.01,,Audemars Piguet,,,,Leather,Pink gold,41 mm,,http://www.chrono24.com/audemarspiguet/royal-oak-chronograph-41-mm--id4883522.htm,,,1 (mint),2015,Available now
With box,White,,,,"Germany, Langenfeld",Steel,Automatic,14790,10 ATM,Audemars Piguet,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,36 mm,Steel,http://www.chrono24.com/audemarspiguet/royal-oak-stahl-white-dial-steel-automatik-cal-2225-top--id5714499.htm,Audemars Piguet Kaliber 2225,Steel,1 (mint),ca. 2000,Available now
,White,,,Roman numerals,"United Kingdom, London",White gold,Manual winding,,,Audemars Piguet,Sapphire Glass,,Men's watch/Unisex,Leather,White gold,25.5 mm,,http://www.chrono24.com/audemarspiguet/18k-wg-white-dial-museum-collection-regulateur-gents--id5436770.htm,,,2 (fine),,Available now
,White,,,,"Belgium, Bruxelles",,Automatic,,,Audemars Piguet,,,,Steel,Steel,36 mm,Steel,http://www.chrono24.com/audemarspiguet/royal-oak-36-mm-white-dial--id5677972.htm,,,,2000,Available now
With papers,White,,"$19,999",No numerals,"United Kingdom, London",Steel,Automatic,26320ST.OO.1220ST.02,5 ATM,Audemars Piguet,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,41 mm,Steel,http://www.chrono24.com/audemarspiguet/royal-oak-chronograph-steel--26320stoo1220st02--id5657224.htm,2385,Steel,0 (unworn),April 2016,Available now
With papers,,,,,"United Kingdom, London",,Automatic,26470ST.OO.A101CR.01,,Audemars Piguet,,,Men's watch/Unisex,Leather,Steel,42 mm,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-42mm-26470stooa101cr01--id5699838.htm,,,1 (mint),2015,Available now
With papers,White,,,Arabic numerals,"Italy, ROMA",Steel,Automatic,26170ST.OO.D91CR.01,10 ATM,Audemars Piguet,Sapphire Glass,"Fold clasp, hidden",,Leather,Steel,42 mm,Black,http://www.chrono24.com/audemarspiguet/off-shore-acciaio--safari-italiano--id5332513.htm,,Steel,1 (mint),2009,Available now
With papers,Black,,,,"Belgium, Bruxelles",,Automatic,,,Audemars Piguet,Sapphire Glass,,,Steel,Steel,39 mm,Steel,http://www.chrono24.com/audemarspiguet/royal-oak-15300-st--id5677822.htm,3120,,,2010,Available now
With papers,,,,,"Germany, Düsseldorf",Pink gold,Automatic,26470OR.OO.1000OR.01,10 ATM,Audemars Piguet,Sapphire Glass,Buckle,Men's watch/Unisex,Pink Gold,Pink gold,42 mm,Gold,http://www.chrono24.com/audemarspiguet/royal-oak-offshore--26470oroo1000or01--122016-deutsch--id5640986.htm,3126 / 3840,Pink Gold,0 (unworn),2016,Available now
With papers,Black,,,,"Germany, Köln",,Automatic,15706AU.OO.A002CA.01,,Audemars Piguet,Sapphire Glass,,Men's watch/Unisex,Rubber,Carbon,42 mm,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-diver-carbon-15706auooa002ca01--id4844284.htm,,,1 (mint),2012,Available now
With papers,,,,,"Germany, Stuttgart",Steel,Automatic,ST25721,,Audemars Piguet,Sapphire Glass,Fold clasp,,Leather,Steel,46 mm,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-stahl-diamond-automatik-chronograph-armand-leder-44mm-refst25721-vintage-bj-1996-boxpap-mit-zertifikat-ueber-220000---id5378314.htm,,,1 (mint),1996,Available now
With papers,White,,,No numerals,"Switzerland, Lugano",Steel,Automatic,15450ST.OO.1256ST.01,5 ATM,Audemars Piguet,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,37 mm,Steel,http://www.chrono24.com/audemarspiguet/royal-oak-15450stoo1256st01-steel-37mm--id5725471.htm,,,0 (unworn),2016,Available now
With papers,,,,,"Hong Kong SAR, North Point",,Automatic,15407OR.OO.1220OR.01,,Audemars Piguet,,,Men's watch/Unisex,Pink Gold,Pink gold,,,http://www.chrono24.com/audemarspiguet/15407or-royal-oak-skeleton-18k-rose-gold-openworked-automati--id4358269.htm,,,0 (unworn),,Available now
With papers,Gold,,"$55,950",Arabic numerals,"United Kingdom, London",Pink gold,Automatic,26470OR.OO.1000OR.01,10 ATM,Audemars Piguet,Sapphire Glass,Fold clasp,Men's watch/Unisex,Pink Gold,Pink gold,42 mm,Pink,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-rose-gold---26470oroo1000or01--id5606868.htm,3126 / 3840,Pink Gold,0 (unworn),April 2016,Available now
,Black,,,,"United Kingdom, London",,Automatic,15400OR.OO.1220OR.01,,Audemars Piguet,,,Men's watch/Unisex,,,41 mm,,http://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-18ct-rose-gold-15400oroo1220or01--id4437560.htm,,,0 (unworn),2015,Available now
With papers,White,,,,"Germany, Düsseldorf",,Automatic,25854TI.OO.1150TI.01,,Audemars Piguet,Sapphire Glass,,Men's watch/Unisex,Titanium,Titanium,44 mm,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-perpetual-chronograph-titan-25854tioo1150ti01--id4950180.htm,,,1 (mint),2011,Available now
,Silver,,,,"Monaco, Monaco",,Automatic,26170ST.OO.1000ST.01,,Audemars Piguet,,,Men's watch/Unisex,,Steel,42 mm,Steel,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-panda-26170stoo1000st01--id5168356.htm,,,0 (unworn),,Available now
With papers,,,,,"Sweden, Stockholm",,Automatic,26325TS.OO.D005CR.01,,Audemars Piguet,,,Men's watch/Unisex,Rubber,Titanium,,,http://www.chrono24.com/audemarspiguet/royal-oak-leo-messi--id4749119.htm,,,1 (mint),2014,Available now
With papers,Mother of pearl,,,Arabic numerals,"United Kingdom, London",Pink gold,Manual winding,77247OR.ZZ.A812CR.01,2 ATM,Audemars Piguet,Sapphire Glass,Buckle,Ladies' watch,Leather,Pink gold,39.5 mm,Brown,http://www.chrono24.com/audemarspiguet/18k-rg-millenary-hand-wound-bp-77247orzza812cr01--id5609395.htm,5201,Pink Gold,0 (unworn),2015,Available now
With papers,,,,,"Hong Kong SAR, North Point",,Automatic,15451ST.ZZ.1256ST.01,,Audemars Piguet,,,Ladies' watch,Steel,Steel,,,http://www.chrono24.com/audemarspiguet/15451st-royal-oak-lady-black-dial-automatic-37mm-new--id3159679.htm,,,0 (unworn),,Available now
With papers,Silver,,,No numerals,"Belgium, Antwerpen",Carbon,Automatic,26030IO.OO.D001IN.01,3 ATM,Audemars Piguet,Sapphire Glass,Fold clasp,Men's watch/Unisex,Leather,Titanium,42 mm,Black,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-montoya-titanuim-full-set-mint--id5396228.htm,,Titanium,1 (mint),2004 (F-series),Available now
With box,Black,,,,"Hong Kong SAR, Kowloon",,Automatic,26470ST.OO.A101CR.01,10 ATM,Audemars Piguet,Sapphire Glass,Buckle,,Crocodile skin,Steel,42 mm,Black,http://www.chrono24.com/audemarspiguet/new--royal-oak-offshore-stainless-steel-black-automatic-26470stooa101cr01--id5604999.htm,3126 / 3840,,0 (unworn),,Available now
With papers,Blue,,,,Australia,Steel,Automatic,15400ST.OO.1220ST.03,,Audemars Piguet,,,,Steel,Steel,41 mm,,http://www.chrono24.com/audemarspiguet/royal-oak--id5346276.htm,,,1 (mint),2016,Available now
With box,Gold,,,No numerals,"Netherlands, Maastricht",,Quartz,66270BA.OO.0722BA.07,10 ATM,Audemars Piguet,Sapphire Glass,Fold clasp,Ladies' watch,Yellow Gold,Yellow gold,24.5 mm,Gold,http://www.chrono24.com/audemarspiguet/royal-oak-yellow-gold-diamonds--id4717042.htm,AP Cal. 2610,Yellow gold,1 (mint),,Available now
With papers,,,"$550,000 [Negotiable]",,United Kingdom,Platinum,Automatic,Audemars Piguet Royal Oak Grande Complication,,Audemars Piguet,,,Men's watch/Unisex,Platinum,Platinum,,,http://www.chrono24.com/audemarspiguet/26551ptoo1238pt01--id5597181.htm,,,1 (mint),,Available now
With papers,,,,,"Australia, SYDNEY",,Automatic,Royal Oak 15202 Extra Thin 15202ST,5 ATM,Audemars Piguet,,,Men's watch/Unisex,Steel,Steel,39 mm,,http://www.chrono24.com/audemarspiguet/royal-oak-jumbo-extra-thin--id4444835.htm,,,0 (unworn),2016,Available now
With papers,,,,,"United Kingdom, London",,Automatic,26320ST.OO.1220ST.02,,Audemars Piguet,,,Men's watch/Unisex,Steel,Steel,41 mm,,http://www.chrono24.com/audemarspiguet/royal-oak-chrono-silver-dial--id5165247.htm,,,0 (unworn),2016,Available now
With papers,White,,,No numerals,"Belgium, Knokke-Heist",,Automatic,26320ST.OO.1220.02,5 ATM,Audemars Piguet,,Double-fold clasp,,Steel,Steel,41 mm,Steel,http://www.chrono24.com/audemarspiguet/royal-oak-chrono-41mm--id3970432.htm,,Steel,1 (mint),2015,Available now
With papers,White,,,,"Switzerland, Lugano",Pink gold,Automatic,77321OR.ZZ.D010CA.01,,Audemars Piguet,Sapphire Glass,Fold clasp,Ladies' watch,Rubber,Red gold,33 mm,White,http://www.chrono24.com/audemarspiguet/royal-oak-lady-77321orzzd010ca01-red-gold-caucciu--id3454790.htm,,,1 (mint),,Available now
,,,,,"Sweden, Stockholm",,Automatic,14790,,Audemars Piguet,,,,Steel,Steel,36 mm,,http://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oaktropical-dial--id5366602.htm,,,1 (mint),1980,Available now
With papers,,,,,"Italy, TORINO",,Automatic,26320OR,,Audemars Piguet,,Fold clasp,,Pink Gold,Pink gold,,,http://www.chrono24.com/audemarspiguet/royal-oak-chrono-41mm-all-rose-gold-black-dial--id2569939.htm,,Pink Gold,0 (unworn),2016,Available now
With papers,,,,,"Italy, Roma",,Automatic,25721ST,,Audemars Piguet,,,,Steel,Steel,42 mm,,http://www.chrono24.com/audemarspiguet/royal-oak-off-shore-chronograph--id5122149.htm,,,1 (mint),2004,Available now
With papers,Silver,,,Arabic numerals,"Italy, ROMA",Steel,Automatic,26150ST,20 ATM,Audemars Piguet,Sapphire Glass,,Men's watch/Unisex,Crocodile skin,Steel,45 mm,Brown,http://www.chrono24.com/audemarspiguet/audemars-piquet-millenary-dual-time-masersarti-26150st--id5611230.htm,,Steel,0 (unworn),2010,Available now
With papers,White,,,Arabic numerals,"Italy, Palermo",Steel,Automatic,25940SK.00.D002CA02,,Audemars Piguet,Sapphire Glass,Buckle,Men's watch/Unisex,Rubber,Steel,44 mm,Black,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-chronograph--full-set--id5317656.htm,,Steel,1 (mint),2005,Available now
With papers,,,,,"Sweden, Stockholm",,Automatic,26150OR.OO.D003CU.01,,Audemars Piguet,,,Men's watch/Unisex,Leather,Pink gold,,,http://www.chrono24.com/audemarspiguet/audemars-piguet-millenary-maserati-gmt--id4184771.htm,,,1 (mint),2011,Available now
With papers,,,,,"Sweden, Stockholm",,Automatic,15202ST.OO.0944ST.02,5 ATM,Audemars Piguet,Sapphire Glass,,,Steel,Steel,39 mm,,http://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-15202stoo0944st02--id5695078.htm,,,1 (mint),2005,Available now
With papers,,,,,Netherlands,Ceramic,Automatic,26400AU.OO.A002CA.01,,Audemars Piguet,,Buckle,Men's watch/Unisex,Rubber,Carbon,,Black,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-44mm-chronograph-carbon-ceramic-watch--id5699709.htm,,Titanium,1 (mint),11-2012,Available now
With box,Black,,"$13,300",,"Switzerland, Baar",,Automatic,15161SN.OO.D002CR.01,,Audemars Piguet,,,Men's watch/Unisex,Leather,Steel,45 x 40 mm,,http://www.chrono24.com/audemarspiguet/millenary-quincy-jones--limited-500-pcs---15161snood002cr01--id4791760.htm,AP 3120,,1 (mint),,Available now
With papers,Blue,,,No numerals,"Italy, Milano",Steel,Automatic,26300ST,,Audemars Piguet,Sapphire Glass,Fold clasp,,Steel,Steel,39 mm,Steel,http://www.chrono24.com/audemarspiguet/royal-oak-automatic-chronograph-ref-26300st--id5403271.htm,,Steel,1 (mint),2009,Available now
With papers,,,,,"Hong Kong SAR, North Point",,Automatic,26400AU.OO.A002CA.01,,Audemars Piguet,,,Men's watch/Unisex,Rubber,Carbon,,,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-forged-carbon-ceramic-novelty-44mm-new--id3267315.htm,,,0 (unworn),,Available now
With box,,,,,Hong Kong SAR,Steel,Automatic,25829ST.OO.0944ST.01,2 ATM,Audemars Piguet,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,39 mm,Steel,http://www.chrono24.com/audemarspiguet/royal-oak-openworked-perpetual-calendar-rare--id5387876.htm,Calibre 2120 / 2802 Manufacture,Steel,1 (mint),2006,Available now
With papers,Blue,,"$117,000",,"Switzerland, Baar",,Manual winding,26510OR.OO.1220OR.01,,Audemars Piguet,,,Men's watch/Unisex,Pink Gold,Pink gold,41 x 8.9 mm,Gold,http://www.chrono24.com/audemarspiguet/royal-oak-extra-thin-tourbillon---26510oroo1220or01--id4833514.htm,AP 2924,,0 (unworn),,Available now
With papers,,,,,Italy,Steel,Automatic,15300ST.OO.122ST.03,Not Waterproof,Audemars Piguet,Sapphire Glass,,Men's watch/Unisex,Steel,Steel,41 mm,Steel,http://www.chrono24.com/audemarspiguet/royal-oak-selfwinding--id4945101.htm,,Steel,1 (mint),2011,Available now
With papers,Brown,,,No numerals,"Belgium, Brussel",Steel,Automatic,26300ST.OO.1110ST.08,,Audemars Piguet,Sapphire Glass,Fold clasp,,Steel,Steel,39 mm,Steel,http://www.chrono24.com/audemarspiguet/royale-oak-chronograph--id4712811.htm,,Steel,1 (mint),2009,Available now
With papers,Champagne,,,Arabic numerals,Greece,,Manual winding,25909PT.OO.D088CR.01,20 ATM,Audemars Piguet,Sapphire Glass,Buckle,Men's watch/Unisex,Crocodile skin,Platinum,43 mm,Brown,http://www.chrono24.com/audemarspiguet/jules--tourbillon--chronograph-platinum--limited-edition--id4467897.htm,2879,Platinum,0 (unworn),2010,Available now
,,,,,"United Kingdom, London",,Automatic,25940SK.OO.D002CA.01,,Audemars Piguet,,,,,Steel,42 mm,,http://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-offshore-42mm-diamond-set-25940skood002ca01--id5049583.htm,,,1 (mint),2016,Available now
With box,White,"Date, GMT",,,"Germany, Langenfeld",Steel,Automatic,26120ST.OO.1220ST.01,10 ATM,Audemars Piguet,Sapphire Glass,Fold clasp,Men's watch/Unisex,Rubber,Steel,39 mm,Black,http://www.chrono24.com/audemarspiguet/royal-oak-dual-time-stahl-white-dial-steel-automatik-dream-rar--id5207159.htm,Calibre 2329 / 2846,Steel,1 (mint),ca. 2010,Available now
With papers,Black,,,Arabic numerals,"Germany, Rheinstetten - Karlsruhe",Steel,Automatic,26184ST.OO.D003CU.01,10 ATM,Audemars Piguet,Sapphire Glass,Fold clasp,Men's watch/Unisex,Leather,Steel,42 mm,Black,http://www.chrono24.com/audemarspiguet/offshore-tour-auto-limited--boutique-edition-100-pieces-revi--id5206244.htm,3126/3840,Steel,1 (mint),2008,Available now
With box,Black,,,Arabic numerals,"Germany, Rheinstetten - Karlsruhe",Steel,Automatic,26133ST.OO.A101CR.01,10 ATM,Audemars Piguet,Sapphire Glass,Buckle,Men's watch/Unisex,Crocodile skin,Steel,48 mm,Black,http://www.chrono24.com/audemarspiguet/royal-oak-offshore-shaquille-oneal-limited--edt--diamonds--id5385441.htm,3126-3840,Steel,1 (mint),2009,Available now
With papers,White,,,Arabic numerals,"Switzerland, Lugano",Steel,Automatic,26170ST.OO.1000ST.01,10 ATM,Audemars Piguet,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,42 mm,Steel,http://www.chrono24.com/audemarspiguet/offshore-chronograph-26170stoo1000st01-steel-42mm--id5726108.htm,,Steel,1 (mint),2011,Available now
