,Case diameter,Dial,Code,Ref. No.,Waterproof,url,Gender,Brand,Bracelet color,Availability,Clasp,Case material,Location,Date,Price,Condition,Movement
With papers,45 mm,,,517.NX.0170.LR,,http://www.chrono24.com/hublot/classic-fusion-aerofusion-moonphase--id4720795.htm,,Hublot,Black,Ready to ship in 3-5 days,,Titanium,"Switzerland, St.Gallen",,,0 (unworn),Automatic
With papers,,,,403.CI.0140.RX,,http://www.chrono24.com/hublot/big-bang-alarm-repeater--id4716423.htm,,Hublot,,Ready to ship in 3-5 days,,Ceramic,"Switzerland, St.Gallen",,,0 (unworn),Automatic
With papers,45 mm,,,403.OM.0123.RX,10 ATM,http://www.chrono24.com/hublot/big-bang-alarm-repeater--id4716431.htm,,Hublot,Black,Ready to ship in 3-5 days,,Red gold,"Switzerland, St.Gallen",,,0 (unworn),Automatic
With papers,41 mm,,,341.SX.9010.RX.1704,10 ATM,http://www.chrono24.com/hublot/big-bang-black-diamonds--id4717075.htm,,Hublot,Black,Ready to ship in 3-5 days,Fold clasp,Steel,"Switzerland, St.Gallen",,,0 (unworn),Automatic
With papers,45 mm,Grey,,406.CI.0170.RX,10 ATM,http://www.chrono24.com/hublot/big-bang-unico-chrono-perpetual-calender--id4716170.htm,,Hublot,Black,Ready to ship in 3-5 days,Buckle,Ceramic,"Switzerland, St.Gallen",,,0 (unworn),Automatic
With papers,44 mm,,,311.CI.1170.CI,,http://www.chrono24.com/hublot/big-bang-aero-bang-black-magic--id3992110.htm,Men's watch/Unisex,Hublot,,Ready to ship in 3-5 days,,Ceramic,"Switzerland, Freienbach/",,,0 (unworn),Automatic
With papers,27 mm,Black,005770-4,1393,,http://www.chrono24.com/hublot/classic-lady-steel--gold--id5579657.htm,,Hublot,Black,Ready to ship in 6-10 days,Double-fold clasp,Gold/Steel,"Spain, Madrid",Date,,1 (mint),Quartz
With papers,33 mm,Black,,581.NX.1170.RX,5 ATM,http://www.chrono24.com/hublot/classic-fusion-33-mm-titanium-581nx1170rx--id4057838.htm,,Hublot,Black,Ready to ship in 6-10 days,Fold clasp,Titanium,"Italy, l'aquila",Date,,0 (unworn),Quartz
With papers,38 mm,Grey,84.072,565.NX.7071.LR,,http://www.chrono24.com/hublot/classic-fusion-automatic--565nx7071lr--id5215597.htm,Men's watch/Unisex,Hublot,Grey,Ready to ship in 6-10 days,Fold clasp,Titanium,"Germany, Stuttgart",Date,,0 (unworn),Automatic
With papers,"38,00 mm",Black,,565.NX.1170.LR,5 ATM,http://www.chrono24.com/hublot/classic-fusion-automatic-38mm--id3554280.htm,Men's watch/Unisex,Hublot,Black,Ready to ship in 6-10 days,Fold clasp,Titanium,"Germany, Schwabach",Date,,0 (unworn),Automatic
