,Case diameter,Dial,Code,Ref. No.,"Date, GMT",Gender,Brand,Dial numerals,Availability,Clasp,"Chronometer, Helium Valve",Case material,Location,url,Price,Condition,Movement
,41 mm,,511.OX.0500.VR.BER16,511.OX.0500.VR.BER16,,Men's watch/Unisex,Hublot,,On request,Fold clasp,,,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-berluti-scritto-automatic-king-gold-45mm-mens-watch-ref-511ox0500vrber16--id5705282.htm,"$23,520",0 (unworn),
With papers,45 mm,,311.CI.1170.GR,311.CI.1170.GR,,Men's watch/Unisex,Hublot,,On request,Fold clasp,,Ceramic,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-aero-bang-45mm-automatic-ceramic-mens-watch-ref-311ci1170gr--id5268997.htm,"$14,210",0 (unworn),
,45 mm,,411.OX.1180.RX.1104,411.OX.1180.RX.1104,,Men's watch/Unisex,Hublot,,On request,,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-unico-45mm-automatic-titanium-mens-watch-ref-411ox1180rx1104--id5268889.htm,"$31,700",0 (unworn),
,38 mm,,565.CX.1210.VR.1222,565.CX.1210.VR.1222,,Men's watch/Unisex,Hublot,,On request,,,Ceramic,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-shiny-38mm-automatic-ceramic-mens-watch-ref-565cx1210vr1222--id5269283.htm,"$8,165",0 (unworn),
With papers,41 mm,,341.PX.130.RX.114,341.PX.130.RX.114,,Men's watch/Unisex,Hublot,,On request,Buckle,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-41mm-automatic-18k-rose-gold-mens-watch-ref-341px130rx114--id5269334.htm,"$24,566",0 (unworn),
,44 mm,,301.PX.1180.RX.1704,301.PX.1180.RX.1704,,Men's watch/Unisex,Hublot,,On request,Fold clasp,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-44mm-automatic-18k-rose-gold-mens-watch-ref-301px1180rx1704--id5268423.htm,"$35,690",0 (unworn),
With papers,41 mm,,341.PB.131.RX,341.PB.131.RX,,Men's watch/Unisex,Hublot,,On request,Buckle,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-41mm-automatic-18k-rose-gold-mens-watch-ref-341pb131rx--id5268579.htm,"$18,600",0 (unworn),
,42 mm,,542.OE.2080.LR.1204,542.OE.2080.LR.1204,,Ladies' watch,Hublot,,On request,,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-42mm-automatic-18k-rose-gold-mens-watch-ref-542oe2080lr1204--id5269318.htm,"$18,176",0 (unworn),
With papers,42 mm,,515.NX.1270.LR,515.NX.1270.LR,,Men's watch/Unisex,Hublot,,On request,Buckle,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-42mm-hand-wind-titanium-mens-watch-ref-515nx1270lr--id5268516.htm,"$8,790",0 (unworn),
,48 mm,,701.OE.0128.GR,701.OE.0128.GR,,Men's watch/Unisex,Hublot,,On request,Fold clasp,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/king-power-unico-48mm-automatic-18k-rose-gold-mens-watch-ref-701oe0128gr--id5268662.htm,"$36,250",0 (unworn),
,33 mm,,581.OE.2080.LR.1204,581.OE.2080.LR.1204,,Ladies' watch,Hublot,,On request,,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-33mm-automatic-18k-rose-gold-mens-watch-ref-581oe2080lr1204--id5268670.htm,"$13,490",0 (unworn),
,44 mm,Black,11900,301.SB.1470.HR.LAM13,,,Hublot,No numerals,On request,Fold clasp,,Steel,"United States, New York, New York",http://www.chrono24.com/hublot/big-bang-44mm-latin-america-black-dial-limited-edition-to-50-pieces---stainless-steel-on-strap--id2813558.htm,price on request,,Automatic
,38 mm,,565.OX.9010.OX.3704,565.OX.9010.OX.3704,,Men's watch/Unisex,Hublot,,On request,Fold clasp,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-38mm-automatic-18k-rose-gold-mens-watch-ref-565ox9010ox3704--id5269389.htm,"$63,648",0 (unworn),
,42 mm,,541.OX.1181.LR.1704,541.OX.1181.LR.1704,,Men's watch/Unisex,Hublot,,On request,,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-42mm-automatic-18k-rose-gold-mens-watch-ref-541ox1181lr1704--id5268654.htm,"$28,258",0 (unworn),
,44 mm,,301.SX.1170.RX.1704,301.SX.1170.RX.1704,,Men's watch/Unisex,Hublot,,On request,Fold clasp,,Steel,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang--44mm-automatic-stainless-steel-mens-watch-ref-301sx1170rx1704--id5269120.htm,"$20,930",0 (unworn),
,53 mm,,912.ND.0123.RX,912.ND.0123.RX,,Men's watch/Unisex,Hublot,,On request,,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/masterpiece--53mm-hand-wind-titanium-mens-watch-ref-912nd0123rx--id5580087.htm,"$201,600",0 (unworn),
,45 mm,,411.CM.1138.RX,411.CM.1138.RX,,Men's watch/Unisex,Hublot,,On request,,,Ceramic,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-unico-45mm-automatic-ceramic-mens-watch-ref-411cm1138rx--id5269152.htm,"$16,870",0 (unworn),
,42 mm,,541.NE.2010.LR.1104,541.NE.2010.LR.1104,,Ladies' watch,Hublot,,On request,Fold clasp,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-42mm-automatic-titanium-mens-watch-ref-541ne2010lr1104--id5269469.htm,"$10,721",0 (unworn),
,45 mm,,411.NX.1170.RX.1904,411.NX.1170.RX.1904,,Men's watch/Unisex,Hublot,,On request,,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-unico-45mm-automatic-titanium-mens-watch-ref-411nx1170rx1904--id5269631.htm,"$42,500",0 (unworn),
,40.2 x 40.1 mm,Black,12763,902.ND.1140.RX,,,Hublot,Arabic numerals,On request,Fold clasp,,Titanium,"United States, New York, New York",http://www.chrono24.com/hublot/key-of-time-mp-02-vertical-flying-tourbillon-discontinued-model-black-dial-limited-edition-to-50-pieces---titanium--pvd-on-strap--id3735756.htm,price on request,,Manual winding
,41 mm,White,341.PE.9010.RW.1704,341.PE.9010.RW.1704,,Men's watch/Unisex,Hublot,,On request,Fold clasp,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-41mm-automatic-18k-rose-gold-mens-watch-ref-341pe9010rw1704--id5269453.htm,"$44,020",0 (unworn),
,45 mm,,506.OX.0180.LR.0904,506.OX.0180.LR.0904,,Men's watch/Unisex,Hublot,,On request,,,,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-skeleton-45mm-automatic-18k-king-gold-mens-watch-ref-506ox0180lr0904--id5580079.htm,"$134,400",0 (unworn),
,41 mm,White,341.PP.2010.LR.1933,341.PP.2010.LR.1933,,Ladies' watch,Hublot,,On request,Fold clasp,,Pink gold,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-tutti-frutti-41mm-automatic-18k-rose-gold-mens-watch-ref-341pp2010lr1933--id5269607.htm,"$27,903",0 (unworn),
,45 mm,,411.SX.1170.LR.WPT15,411.SX.1170.LR.WPT15,,Men's watch/Unisex,Hublot,,On request,,,Steel,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-unico-world-poker-tour-45mm-automatic-stainless-steel-mens-watch-ref-411sx1170lrwpt15--id5269632.htm,"$16,170",0 (unworn),
New,,,401199894871,,,,Hublot,,On request,,,,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-black-magic-automatic-date-mens-watch-511cm1770rx--id4938787.htm,"$6,700",0 (unworn),
,33 mm,,585.NX.2610.NX,585.NX.2610.NX,,Ladies' watch,Hublot,,On request,Fold clasp,,Titanium,"United States, Florida, Miami",http://www.chrono24.com/hublot/classic-fusion-33mm-automatic-titanium-mens-watch-ref-585nx2610nx--id5269275.htm,"$5,110",0 (unworn),
,41 mm,,343.SX.6570.NR.0804,343.SX.6570.NR.0804,,Ladies' watch,Hublot,,On request,,,Steel,"United States, Florida, Miami",http://www.chrono24.com/hublot/big-bang-broderie-41mm-automatic-stainless-steel-set-with-198-diamonds-mens-watch-ref-343sx6570nr0804--id5269664.htm,"$12,690",0 (unworn),
