,Case diameter,Dial,Code,Ref. No.,"Date, GMT",Gender,Brand,Dial numerals,Availability,Clasp,"Chronometer, Helium Valve",Case material,Location,url,Price,Condition,Movement
With papers,29 mm,,J15011,WP1412,,,TAG Heuer,,Available now,Fold clasp,,Steel,"Germany, Seefeld",http://www.chrono24.com/tagheuer/alter-ego-lady-stahlstahl-refwp1412-boxpapiere--id3427246.htm,,1 (mint),Quartz
With papers,,Black,1699,CWA2110,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,"France, Dijon",http://www.chrono24.com/tagheuer/monaco-chrono-cal-12--id5711247.htm,,1 (mint),Automatic
With papers,"40,5 mm",Black,,WAY1110.FT8021,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Buckle,,Steel,"Spain, Madrid",http://www.chrono24.com/tagheuer/aquaracer--id4155778.htm,,1 (mint),Quartz
With papers,41 mm,Black,,WAZ2113.FT8023 - TAG HEUER FORMULA 1 CALIBRE 5 41MM,,,TAG Heuer,Arabic numerals,Available now,,,Steel,"Italy, VICENZA",http://www.chrono24.com/tagheuer/formula-1-automatic-black-dial-black-rubber-mens-watch--id3675204.htm,price on request,0 (unworn),Automatic
With papers,41 mm,Blue,FM10728,WAZ1120.BBA0879,,Men's watch/Unisex,TAG Heuer,,Available now,,,,"Germany, Teuschnitz",http://www.chrono24.com/tagheuer/tag-heuer-formula-1-quarz-41mm--id4977917.htm,,0 (unworn),Quartz
With papers,41 mm,Black,,WAR2010.BA0723,"Date, GMT",Men's watch/Unisex,TAG Heuer,No numerals,Available now,"Fold clasp, hidden",,Steel,"Italy, Trani",http://www.chrono24.com/tagheuer/carrera--id4851034.htm,,0 (unworn),Automatic
,39 mm,Black,0828-16,,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Spain, Barcelona",http://www.chrono24.com/tagheuer/tag-heuer-kirium-professional-200-meters-steel--id4679742.htm,,1 (mint),Quartz
With papers,37 mm,Black,,"WAH1219.BA0859 - TAGHEUER F1 STEEL, CERAMIC AND DIAMONDS",,,TAG Heuer,,Available now,,,Steel,"Italy, VICENZA",http://www.chrono24.com/tagheuer/formula-1-lady-200m-quartz-movement-37mm--id3692671.htm,price on request,0 (unworn),Quartz
With papers,27 mm,Mother of pearl,,WAY1413.BA0920 - TAG HEUER Steel Watch with Diamonds Dial,,Ladies' watch,TAG Heuer,No numerals,Available now,,,Steel,"Italy, VICENZA",http://www.chrono24.com/tagheuer/aquaracer-ladies-quartz--white-mother-of-pearl-dial--id3653017.htm,price on request,0 (unworn),Quartz
With box,43 mm,Brown,4810,CV2A12,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,"Spain, Madrid",http://www.chrono24.com/tagheuer/carrera-day-date--id4582318.htm,,1 (mint),Automatic
With papers,29 mm,Mother of pearl,4394,WP1319,,Ladies' watch,TAG Heuer,,Available now,"Fold clasp, hidden",,Steel,"Spain, Madrid",http://www.chrono24.com/tagheuer/alter-ego-diamonds--id3755135.htm,,1 (mint),Quartz
With papers,40 mm,Black,4111,cw2111,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Double-fold clasp,,Steel,"Germany, Frankfurt am Main",http://www.chrono24.com/tagheuer/monaco-chronograph---steve-mcqueen---ref-cw2111---edelstahl---boxpapiere---bj-062008---aaw--id4579827.htm,,1 (mint),Automatic
New,"44,00 mm",Black,,CAZ2010.BA0876,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Italy, Cascina Pisa",http://www.chrono24.com/tagheuer/mens-formula-1-calibre-16-chrono-steel-on-steel-black-face--id4136667.htm,,0 (unworn),Automatic
With papers,42 mm,Black,,840006,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,,,Steel,Italy,http://www.chrono24.com/tagheuer/super-professional-1000-m--id4565438.htm,,1 (mint),Automatic
,,,,,,Men's watch/Unisex,TAG Heuer,,Available now,,,,"Portugal, Braga",http://www.chrono24.com/tagheuer/microtimer--id5324567.htm,,1 (mint),Quartz
With papers,43 mm,,6521328,WAJ2182,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Titanium,"United Kingdom, Liverpool",http://www.chrono24.com/tagheuer/aquaracer-waj2182--id4223363.htm,,0 (unworn),Automatic
,37 mm,Black,1282-16,WL111D-0,,Men's watch/Unisex,TAG Heuer,Arabic numerals,Available now,Fold clasp,,Steel,"Spain, Barcelona",http://www.chrono24.com/tagheuer/kirium-quart-steel-wl111d-0--id5387487.htm,,1 (mint),Quartz
With box,39 x 43 mm,Black,,WJ 2110,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,"Portugal, Lisboa",http://www.chrono24.com/tagheuer/link-tiger-hoods-limited-edition-in-stainless-steel--id3035533.htm,,1 (mint),Automatic
,45 x 39 mm,,19510,,,Men's watch/Unisex,TAG Heuer,,Available now,,,Steel,"United Kingdom, London",http://www.chrono24.com/tagheuer/1500-quartz-925213g-watch--id5528591.htm,,,Quartz
With papers,32 mm,Mother of pearl,,WAF1313.BA0819,,Ladies' watch,TAG Heuer,,Available now,"Fold clasp, hidden",,Steel,"Greece, GLYFADA",http://www.chrono24.com/tagheuer/aquaracer-lady--id4414918.htm,,1 (mint),Quartz
With papers,,,,,,Men's watch/Unisex,TAG Heuer,,Available now,,,Steel,France,http://www.chrono24.com/tagheuer/carrera--id5494708.htm,,2 (fine),Automatic
With papers,28 mm,,16207,WN1318,,Ladies' watch,TAG Heuer,,Available now,,,Steel,"United Kingdom, Bishop's Stortford",http://www.chrono24.com/tagheuer/2000-stainless-steel-ladies-wn1318--id4203790.htm,,1 (mint),Quartz
With papers,39 mm,Silver,18744,WAS2150,,Men's watch/Unisex,TAG Heuer,,Available now,,,Gold/Steel,"United Kingdom, Bishop's Stortford",http://www.chrono24.com/tagheuer/carrera-calibre-6-stainless-steel18k-yellow-gold-unisex-was2150--id5271382.htm,,1 (mint),Automatic
With papers,"41,5 mm (47 mm with crown) x 49 mm (lug to lug) mm",White,,CV2050,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Buckle,,Steel,"Poland, PŁOCK",http://www.chrono24.com/tagheuer/carrera-calibre-16-stee18k-gold--id5340896.htm,,1 (mint),Automatic
With papers,45 mm,Black,,car2c12.fc6327 - Tag Heure Carrera Calibre 1887,,,TAG Heuer,Arabic numerals,Available now,,,Titanium,"Italy, VICENZA",http://www.chrono24.com/tagheuer/automatic-chrono---45mm---car2c12fc6327-black-dial--id3131526.htm,price on request,0 (unworn),Automatic
With papers,43 mm,Black,'08,WAJ2111,,,TAG Heuer,,Available now,,,Steel,"Germany, Esslingen am Neckar",http://www.chrono24.com/tagheuer/aquaracer-500m--id4841524.htm,,2 (fine),Automatic
With papers,43 mm,Silver,,CAR2012.FC6235,,Men's watch/Unisex,TAG Heuer,Arabic numerals,Available now,Fold clasp,,Steel,"Germany, München",http://www.chrono24.com/tagheuer/carrera-chronograph-43-mm-calibre-1887-car2012fc6235--id2426422.htm,,0 (unworn),Automatic
With papers,,,,,,Men's watch/Unisex,TAG Heuer,,Available now,,,Steel,"Greece, Argostoli",http://www.chrono24.com/tagheuer/cjf7111bao578--id2339979.htm,,0 (unworn),
With papers,43 mm,Silver,,,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,Norway,http://www.chrono24.com/tagheuer/cav511bba0902--id5467909.htm,"$2,000",2 (fine),Automatic
With papers,,Black,"23,82",CAR2112.FC6267,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,"Spain, BARCELONA",http://www.chrono24.com/tagheuer/300-slr-calibre-1887-limited-edition--id2188141.htm,,0 (unworn),Automatic
,41 mm,Black,,CH1114,,Men's watch/Unisex,TAG Heuer,,Available now,Double-fold clasp,,,"Portugal, Lisboa",http://www.chrono24.com/tagheuer/hakkinen-chronograph-limited-edition-01692000-steel--id5030540.htm,,1 (mint),Quartz
,39 mm,,3310,WAR211A.BA0782,,Men's watch/Unisex,TAG Heuer,,Available now,,,Steel,"Hungary, Szeged",http://www.chrono24.com/tagheuer/carrera-ferfi-karora-war211aba0782--id5676901.htm,,,Automatic
With papers,39 mm,Champagne,,WAR215A.FC6181 - TAGHEUER 39mm automatic,,,TAG Heuer,No numerals,Available now,,,Steel,"Italy, VICENZA",http://www.chrono24.com/tagheuer/carrera-calibre-5---automatic-watch-champagne-dial--id3132898.htm,price on request,0 (unworn),Automatic
With papers,45 mm,Black,,CAJ2110-FT6023,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Spain, Barcelona",http://www.chrono24.com/tagheuer/aquaracer-500m--id5582441.htm,,1 (mint),Automatic
With papers,43 mm,Silver,,CAR2012.FC6236,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,"Spain, Zaragoza",http://www.chrono24.com/tagheuer/carrera-calibre-1887-chronograph--id3694693.htm,,0 (unworn),Automatic
With papers,41 mm,Black,6621262,CV2010,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,"United Kingdom, Liverpool",http://www.chrono24.com/tagheuer/carrera-cv2010--id5425550.htm,,1 (mint),Automatic
With papers,29 mm,Silver,42637,WAT1416.BA0954,,Ladies' watch,TAG Heuer,Roman numerals,Available now,Fold clasp,,Steel,"Netherlands, Den Haag",http://www.chrono24.com/tagheuer/link-lady-special-price--id5544571.htm,,0 (unworn),Quartz
,39 mm,Black,1000-16,CL111A - TY8566,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Spain, Barcelona",http://www.chrono24.com/tagheuer/kirium-formula-1-200-metres-quartz-steel-cl111a--id5113828.htm,,1 (mint),Quartz
,43 mm,,2469,CAR2012.BA0799,,Men's watch/Unisex,TAG Heuer,,Available now,,,Steel,"Hungary, Szeged",http://www.chrono24.com/tagheuer/carrera-ferfi-karora-car2012ba0799--id4968746.htm,,,Automatic
With papers,43 mm,Silver,,CAV511B.BA0902- TAGHEUER Calibre 17 RS - COSC Steel Watch,,,TAG Heuer,No numerals,Available now,,,Steel,"Italy, VICENZA - VI",http://www.chrono24.com/tagheuer/grand-carrera-calibre-17rs-43mm-silver-dial--id3425131.htm,price on request,0 (unworn),Automatic
With papers,42 mm,Black,TAG243,CAZ1113.FC8189 - TAGHEUER F1 Ronaldo CR7 Limited Edition,,,TAG Heuer,,Available now,,,Steel,"Italy, VICENZA",http://www.chrono24.com/tagheuer/formula-1-cristiano-ronaldo-chrono-quarzo-black-and-green--id3753858.htm,,0 (unworn),Quartz
With papers,39 mm,Blue,,CAW2111.FC6183,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Italy, Trani",http://www.chrono24.com/tagheuer/monaco--id4825627.htm,,0 (unworn),Automatic
With papers,,,,WAF1112 BA0801,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,Norway,http://www.chrono24.com/tagheuer/aquaracer--id3480095.htm,,0 (unworn),Quartz
With papers,,,47,CAU2012.FT6038,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,"Spain, BARCELONA",http://www.chrono24.com/tagheuer/tag-heuer-formula-1-calibre-16-automatic-chronograph-44-mm--id2471772.htm,,0 (unworn),Automatic
,,,,CAH1110,,Men's watch/Unisex,TAG Heuer,,Available now,,,Steel,"United Kingdom, Preston",http://www.chrono24.com/tagheuer/f1-cah1110-chrongraph--id4671026.htm,,2 (fine),Quartz
With papers,42 mm,Black,,CAP2110,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Spain, Granollers",http://www.chrono24.com/tagheuer/aquaracer-chrono--id5051463.htm,,1 (mint),Automatic
With papers,32 mm,Black,,WAH1314.BA0867,,Ladies' watch,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Germany, Augsburg",http://www.chrono24.com/tagheuer/formula-one--id5205480.htm,,0 (unworn),
With papers,41 mm,,,CAR2110BA0720,,Men's watch/Unisex,TAG Heuer,,Available now,,,Steel,"Germany, Barsinghausen",http://www.chrono24.com/tagheuer/carrera-calibre-1887-car2110ba0720-41mm-black--id5672815.htm,,1 (mint),Automatic
,,,,WL111-0,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,United Kingdom,http://www.chrono24.com/tagheuer/kirium--id5451237.htm,,1 (mint),Quartz
With papers,42mm mm,,,WJF211C.BA0570,,Men's watch/Unisex,TAG Heuer,,Available now,,,Steel,"Czech Rep., Praha",http://www.chrono24.com/tagheuer/wjf211cba0570--id3014734.htm,,0 (unworn),Automatic
With papers,43 mm,Black,,WAJ2182.FT6015,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Titanium,"Switzerland, Bäch",http://www.chrono24.com/tagheuer/tag-heuer-mens-waj2182ft6015-aquaracer-watch--id4211694.htm,,0 (unworn),Automatic
With papers,,,,caf 1010-0,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,Brazil,http://www.chrono24.com/tagheuer/aquaracer--id4361714.htm,,1 (mint),Quartz
,35 mm,Black,0721-16,570.206 R,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Spain, Barcelona",http://www.chrono24.com/tagheuer/200-meters-professional-570206-r-steel--id4603700.htm,,1 (mint),Quartz
,37 mm,White,0807-16,WL1110 Nº: PW3083,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Spain, Barcelona",http://www.chrono24.com/tagheuer/professional-200m-wl1110--id4663825.htm,,1 (mint),Quartz
With papers,43 mm,Black,91.388,CAY111A.BA0927,,Men's watch/Unisex,TAG Heuer,,Ready to ship in 3-5 days,Double-fold clasp,,Steel,"Germany, Stuttgart",http://www.chrono24.com/tagheuer/aquaracer-300m-quarz-chronograph-43mm--id4957884.htm,,0 (unworn),Quartz
With papers,42 mm,Black,91.287,CAU111E.FT6024,,Men's watch/Unisex,TAG Heuer,,Ready to ship in 3-5 days,Double-fold clasp,,Steel,"Germany, Stuttgart",http://www.chrono24.com/tagheuer/formula-1-quarz-chronograph-neu--id2889515.htm,,0 (unworn),Quartz
With papers,41 x 14 mm,Black,,WAR2010.FC6266,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Germany, Kleinmachnow",http://www.chrono24.com/tagheuer/carrera-calibre-7-twin-time-automatik-41mm--id5550879.htm,,0 (unworn),Automatic
With papers,39 mm,Black,91.191,WAS2114.BA0732,,Men's watch/Unisex,TAG Heuer,,Ready to ship in 3-5 days,Double-fold clasp,,Steel,"Germany, Stuttgart",http://www.chrono24.com/tagheuer/carrera-calibre-6-heritage-automatik-39mm--incl-19-mwst--id2714166.htm,,0 (unworn),Automatic
With papers,41 mm,Black,91.084,CV201AK.FT6040,,Men's watch/Unisex,TAG Heuer,No numerals,Ready to ship in 3-5 days,,,Steel,"Germany, Stuttgart",http://www.chrono24.com/tagheuer/carrera-calibre-16-automatik-chronograph--id3568607.htm,,0 (unworn),Automatic
With papers,39 mm,Black,91.269,WAR211A.FC6180,,Men's watch/Unisex,TAG Heuer,,Ready to ship in 3-5 days,Double-fold clasp,,Steel,"Germany, Stuttgart",http://www.chrono24.com/tagheuer/carrera-calibre-5-automatik-39mm--id2715239.htm,,0 (unworn),Automatic
With papers,41 mm,Black,91.017,CAH1212.BA0862,,Ladies' watch,TAG Heuer,,Ready to ship in 3-5 days,Double-fold clasp,,Steel,"Germany, Stuttgart",http://www.chrono24.com/tagheuer/formula-1-quarz-ceramic--id2514528.htm,,0 (unworn),Quartz
With papers,41 mm,Silver,91.178,WAR201D.BA0723,,Men's watch/Unisex,TAG Heuer,,Ready to ship in 3-5 days,Double-fold clasp,,Steel,"Germany, Stuttgart",http://www.chrono24.com/tagheuer/carrera-calibre-5-day-date-automatik-41mm--id2712934.htm,,0 (unworn),Automatic
With box,39 mm,Black,THWAR215EBD0784,WAR215E.BD0784,,Men's watch/Unisex,TAG Heuer,,On request,Fold clasp,,Steel,"United States, New York, Brooklyn NY",http://www.chrono24.com/tagheuer/carrera--id3599262.htm,"$2,650",0 (unworn),Automatic
With box,32 mm,Mother of pearl,THWAR1353BD0774,WAR1353.BD0774,,Ladies' watch,TAG Heuer,,On request,Fold clasp,,Pink gold,"United States, New York, Brooklyn NY",http://www.chrono24.com/tagheuer/carrera--id4552927.htm,"$3,795",0 (unworn),Quartz
With box,27 mm,Mother of pearl,THWAP1451BD0837,WAP1451.BD0837,,Ladies' watch,TAG Heuer,,On request,,,Steel,"United States, New York, Brooklyn NY",http://www.chrono24.com/tagheuer/aquaracer--id4318369.htm,"$2,375",0 (unworn),Quartz
With box,39 mm,Gold,THWAR215ABD0783,WAR215A.BD0783,,Men's watch/Unisex,TAG Heuer,,On request,Fold clasp,,Steel,"United States, New York, Brooklyn NY",http://www.chrono24.com/tagheuer/carrera--id3928107.htm,"$2,575",0 (unworn),Automatic
With box,39 mm,Blue,THCAW211PFC6356,CAW211P.FC6356,,Men's watch/Unisex,TAG Heuer,,On request,Fold clasp,,Steel,"United States, New York, Brooklyn NY",http://www.chrono24.com/tagheuer/monaco--id4445221.htm,"$3,950",0 (unworn),Automatic
With box,41 mm,White,005694,,,,TAG Heuer,,Available now,Double-fold clasp,,Steel,"Spain, Madrid",http://www.chrono24.com/tagheuer/link-calibre-5-day-date-41mm--id5029967.htm,,1 (mint),Automatic
With papers,41 mm,Blue,MT28384,CV2015,,,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Belgium, Brussel",http://www.chrono24.com/tagheuer/carrera--id4430757.htm,,1 (mint),Automatic
With papers,"41,00 mm",Blue,,WAR201E.FC6292,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,"Germany, Schwabach",http://www.chrono24.com/tagheuer/carrera-calibre-5-day-date-automatik-41mm--id3553309.htm,,0 (unworn),Automatic
With papers,"43,00 mm",Grey,,CAZ2012.BA0970,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,"Germany, Schwabach",http://www.chrono24.com/tagheuer/formula-1-44mm-calibre-16-chronograph--id4332517.htm,,0 (unworn),Automatic
With papers,"35,00 mm",White,,WAY1396.BH0717,,Ladies' watch,TAG Heuer,,Available now,Fold clasp,,Ceramic,"Germany, Schwabach",http://www.chrono24.com/tagheuer/aquaracer-quarz-35mm--id4698278.htm,,0 (unworn),Quartz
With papers,41 mm,Black,,CV201AG BA0725,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,Sweden,http://www.chrono24.com/tagheuer/carrera-calibre-16-automatik-chronograph-41mm--id4704669.htm,,0 (unworn),Automatic
With papers,44 mm,Black,,CAZ2010.FT8024,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Germany, Bietigheim-Bissingen",http://www.chrono24.com/tagheuer/tag-heuer-formula-1-calibre-16-automatik-chronograph-44-mm--id4144298.htm,,0 (unworn),Automatic
,41 mm,Blue,6082,CAF7110,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,"Germany, Langenfeld",http://www.chrono24.com/tagheuer/aquaracer-calibre-s-chronograph-regatta-countdown-110--id4576756.htm,,1 (mint),Quartz
,41 mm,Black,16349,CV2014-4,,,TAG Heuer,,Available now,Fold clasp,,Steel,"Germany, Berlin",http://www.chrono24.com/tagheuer/carrera-juan-manuel-fangio-edition--id4670955.htm,,1 (mint),Automatic
With papers,40 mm,,6705,WAP1110,,,TAG Heuer,,Available now,Fold clasp,,Steel,"Netherlands, Purmerend",http://www.chrono24.com/tagheuer/aquaracer-wap1110--id5474813.htm,,1 (mint),Quartz
With papers,39 mm,Black,,"WV211N, serial EAH1008",,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,Netherlands,http://www.chrono24.com/tagheuer/carrera-calibre-5--id5554580.htm,,1 (mint),Automatic
With papers,41 mm,,,WAR5010.BA0723,,Men's watch/Unisex,TAG Heuer,,Available now,,,Steel,"United Kingdom, London",http://www.chrono24.com/tagheuer/carrera-calibre-8-gmt-war5010ba0723--id5381832.htm,,0 (unworn),Automatic
With papers,39 mm,,3747,WAR1113.BA0602,,,TAG Heuer,,Available now,,,,"Italy, TORINO",http://www.chrono24.com/tagheuer/carrera--id5612529.htm,,0 (unworn),Quartz
With papers,40.2 mm,Silver,K8029,WAV511B.BA0900,,Men's watch/Unisex,TAG Heuer,,Available now,,,Steel,"Germany, Köln",http://www.chrono24.com/tagheuer/grand-carrera-calibre-6-rs-stahl-wav511bba0900--id4260392.htm,,1 (mint),Automatic
,41 mm,Black,,CV2010,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Romania, Bucharest",http://www.chrono24.com/tagheuer/carrera-chronograph-calibre-16--id5487669.htm,,1 (mint),Automatic
With papers,"43,00 mm",Blue,,WAZ1010.FC8197,,Men's watch/Unisex,TAG Heuer,,Available now,Buckle,,Steel,"Germany, Schwabach",http://www.chrono24.com/tagheuer/formula-1-43mm-quarz--id4332502.htm,,0 (unworn),Quartz
With papers,"40,2 mm",Black,,WAV511A.BA0900,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Germany, Bietigheim-Bissingen",http://www.chrono24.com/tagheuer/grand-carrera-calibre-6rs-date-wav511aba0900--id3263957.htm,,0 (unworn),Automatic
With papers,42 mm,Black,,CV2010-3,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,"United Kingdom, London",http://www.chrono24.com/tagheuer/carrera-calibre-16-chronograph--id5208440.htm,,1 (mint),Automatic
With papers,43 mm,Black,,CAY211A.BA0927  CAY211A BA0927,,,TAG Heuer,,Available now,Fold clasp,,Steel,"Italy, l'aquila",http://www.chrono24.com/tagheuer/aquaracer-300m-calibro-16-cronografo-43-mm--cay211aba0927-g--id4772152.htm,,0 (unworn),Automatic
With box,43 mm,,54811,,,Men's watch/Unisex,TAG Heuer,,Available now,,,Steel,"Spain, ALICANTE, Tel: 965 20 69 04, www.garciajoyeros.com",http://www.chrono24.com/tagheuer/link-chronograph--id5436350.htm,,1 (mint),Automatic
With papers,40 mm,Black,,WAT2110.BA0950,,Men's watch/Unisex,TAG Heuer,,Available now,,,Steel,"United Kingdom, London",http://www.chrono24.com/tagheuer/link-calibre-6--id3352973.htm,,1 (mint),Automatic
With papers,41 mm,Blue,6922,CV2015,,,TAG Heuer,,Available now,Fold clasp,,Steel,"Netherlands, Purmerend",http://www.chrono24.com/tagheuer/carrera-cv2015--id5669328.htm,,1 (mint),Automatic
With papers,42 mm,Black,,CV2010,,,TAG Heuer,,Available now,Fold clasp,,Steel,"Italy, l'aquila",http://www.chrono24.com/tagheuer/carrera-nero-42-mm-chronograph-cv2010--2876--id4990175.htm,,1 (mint),Automatic
With papers,43 mm,White,,CAR2012.FC6235,,,TAG Heuer,,Available now,,,Steel,"Italy, l'aquila",http://www.chrono24.com/tagheuer/carrera-calibre-1887-automatik-chronograph-43mm--g--id3800477.htm,,0 (unworn),Automatic
With papers,43 mm,,3737,CAR201Z.FT6046,,,TAG Heuer,,Available now,,,,"Italy, TORINO",http://www.chrono24.com/tagheuer/carrera-heuer-01--id5607149.htm,,0 (unworn),Automatic
With box,45 mm,,THCAR5A5YFC6377,CAR5A5Y.FC6377,,Men's watch/Unisex,TAG Heuer,,On request,Fold clasp,,Titanium,"United States, New York, Brooklyn NY",http://www.chrono24.com/tagheuer/carrera--id5430096.htm,"$13,938",0 (unworn),Automatic
With box,45 mm,,THCAR2A90FT6071,CAR2A90.FT6071,,Men's watch/Unisex,TAG Heuer,,On request,,,Ceramic,"United States, New York, Brooklyn NY",http://www.chrono24.com/tagheuer/carrera--id4771686.htm,"$4,824",0 (unworn),Automatic
With box,45 mm,White,THCAR5A1AFC6374,CAR5A1A.FC6374,,Men's watch/Unisex,TAG Heuer,Arabic numerals,On request,,,Steel,"United States, New York, Brooklyn NY",http://www.chrono24.com/tagheuer/heritage--id5668429.htm,"$14,840",0 (unworn),Automatic
With box,40.5 mm,Black,THCAL5113FC6329,CAL5113.FC6329,,Men's watch/Unisex,TAG Heuer,,On request,Fold clasp,,Steel,"United States, New York, Brooklyn NY",http://www.chrono24.com/tagheuer/monaco--id5215078.htm,"$7,975",0 (unworn),Automatic
With box,45 mm,,THCAR2A5AFT6044,CAR2A5A.FT6044,,Men's watch/Unisex,TAG Heuer,,On request,Fold clasp,,Pink gold,"United States, New York, Brooklyn NY",http://www.chrono24.com/tagheuer/carrera--id5284694.htm,"$6,840",0 (unworn),Automatic
,,,,TAG Heuer Age:	Modern (2000-present),,Ladies' watch,TAG Heuer,,Available now,,,Steel,"Greece, ATHENS",http://www.chrono24.com/tagheuer/2000--id5611565.htm,,1 (mint),Automatic
With papers,37 x 39 x 42 mm,Bordeaux,,WW2116,,Men's watch/Unisex,TAG Heuer,No numerals,Ready to ship in 3-5 days,"Fold clasp, hidden",,Steel,"Canada, Victoria B.C.",http://www.chrono24.com/tagheuer/monaco-wine-colored-dial-wdiamonds-snakeskin-leather-strap--id3502695.htm,"$2,850 [Negotiable]",1 (mint),Automatic
,,Blue,,WAF1113,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,,,Steel,Italy,http://www.chrono24.com/tagheuer/aquaracer--id4956074.htm,,2 (fine),Quartz
With papers,44 mm,,,WAH1011.BA0854,,Men's watch/Unisex,TAG Heuer,,Available now,,,Steel,"United Kingdom, London",http://www.chrono24.com/tagheuer/formula-1-quartz-200m-wah1011ba0854--id5392699.htm,,0 (unworn),Quartz
With papers,"43,00 mm",Blue,,CAZ1014.BA0842,,Men's watch/Unisex,TAG Heuer,,Available now,Fold clasp,,Steel,"Germany, Schwabach",http://www.chrono24.com/tagheuer/formula-1-43mm-quarz-chronograph--id4332509.htm,,0 (unworn),Quartz
With papers,41 mm,Black,,WAZ1110.FT8023,,,TAG Heuer,Arabic numerals,Available now,,,Steel,"Italy, l'aquila",http://www.chrono24.com/tagheuer/formula-one-waz1110ft8023--2767--id4809135.htm,,0 (unworn),Quartz
With papers,"41,00 mm",Black,,WAZ1112.BA0875,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Germany, Schwabach",http://www.chrono24.com/tagheuer/formula-1-quarz--id3680408.htm,,0 (unworn),Quartz
With papers,39 mm,Silver,,WV2116    WV2116-0,"Date, GMT",,TAG Heuer,,Available now,Fold clasp,,Steel,"Italy, l'aquila",http://www.chrono24.com/tagheuer/carrera-twin-time-wv2116-gmt-39mm-3050--id5590389.htm,,1 (mint),Automatic
With papers,"40,5 mm",Blue,,WAY2112.BA0928,,,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Italy, l'aquila",http://www.chrono24.com/tagheuer/aquaracer-300m-calibro-5-405mm-automatic-blue-dial--id4353714.htm,,0 (unworn),Automatic
With box,43 mm,Black,20000024171,WAJ1110.BA0870,,,TAG Heuer,,Available now,Fold clasp,,Steel,"Germany, Stuttgart",http://www.chrono24.com/tagheuer/aquaracer-stahl-quarz-armband-stahl-43mm-bj2010-origbox-wie-neu-mit-zertifikat-ueber-2450---id4870224.htm,,1 (mint),Automatic
With papers,43 mm,Black,,WAJ1110.FT6015,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Germany, München - Gauting",http://www.chrono24.com/tagheuer/aquaracer-herrenuhr-500m-taucheruhr-quarz-edelstahl-waj1110--id3840872.htm,,0 (unworn),Quartz
With papers,35 mm,White,,WAY131B.BA0914,,,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Italy, l'aquila",http://www.chrono24.com/tagheuer/aquaracer-300m-quartz-white-dial-ceramic-strap--g--id5058726.htm,,0 (unworn),Quartz
