,Clasp material,Ref. No.,Bracelet color,url,Gender,Brand,Bracelet material,Availability,Clasp,Case material,Location,Year,Price,Condition,Movement
With papers,Steel,WAH1219.BA0859,Black,http://www.chrono24.com/tagheuer/formula-1-lady-diamonds-special-offer--id3750174.htm,Ladies' watch,TAG Heuer,Ceramic,Ready to ship in 6-10 days,Double-fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Quartz
With papers,Steel,CV201AJ.BA0727,Steel,http://www.chrono24.com/tagheuer/carrera-calibre-16-automatik-chronograph-ref-cv201ajba0727--id4618250.htm,Men's watch/Unisex,TAG Heuer,Steel,Ready to ship in 6-10 days,Fold clasp,Steel,"Germany, Mülheim an der Ruhr",2017,,0 (unworn),Automatic
With papers,Steel,CAY2121.BB0923,Gold/Steel,http://www.chrono24.com/tagheuer/aquaracer-calibre-16-chronograph--id5717966.htm,Men's watch/Unisex,TAG Heuer,Steel,Ready to ship in 6-10 days,Fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Automatic
With papers,Titanium,WAZ2115.FT8023,Black,http://www.chrono24.com/tagheuer/formula-1-calibre-5--id3061913.htm,Men's watch/Unisex,TAG Heuer,Rubber,Ready to ship in 6-10 days,Buckle,Titanium,"Spain, Pamplona",,,0 (unworn),Automatic
With papers,Steel,WAY211A.BA0928,Steel,http://www.chrono24.com/tagheuer/aquaracer-calibre-5-automatik-41mm-ref-way211aba0928--id3809349.htm,Men's watch/Unisex,TAG Heuer,Steel,Ready to ship in 6-10 days,Fold clasp,Steel,"Germany, Mülheim an der Ruhr",2017,,0 (unworn),Automatic
With papers,Steel,WV5111.FC6350,Blue,http://www.chrono24.com/tagheuer/carrera-100m-calibre-6-automatik-ref-wv5111fc6350--id4618447.htm,Men's watch/Unisex,TAG Heuer,Leather,Ready to ship in 6-10 days,Fold clasp,Steel,"Germany, Mülheim an der Ruhr",2017,,0 (unworn),Automatic
With papers,Steel,CAK2110.BA0833,,http://www.chrono24.com/tagheuer/aquaracer-500m-calibre-16-ref-cak2110ba0833--id3083517.htm,Men's watch/Unisex,TAG Heuer,Steel,Ready to ship in 6-10 days,Fold clasp,Steel,"Germany, Mülheim an der Ruhr",2017,,0 (unworn),Automatic
With papers,Steel,CAZ2010.BA0876,,http://www.chrono24.com/tagheuer/formula-1-chronograph-auto--id2934963.htm,Men's watch/Unisex,TAG Heuer,Steel,Ready to ship in 6-10 days,Fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Automatic
With papers,Steel,CAW211P.FC6356,Black,http://www.chrono24.com/tagheuer/monaco-cal-11-mcqueen--id3939164.htm,Men's watch/Unisex,TAG Heuer,Leather,Ready to ship in 6-10 days,Fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Automatic
With papers,Steel,WAH1213.BA0861,White,http://www.chrono24.com/tagheuer/formula-1-lady--id2683450.htm,Ladies' watch,TAG Heuer,Ceramic,Ready to ship in 6-10 days,Double-fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Quartz
